"timeMillisSpent","score"
298,"-214hard/3236soft"
300,"-213hard/3236soft"
301,"-212hard/3236soft"
302,"-211hard/3236soft"
302,"-210hard/3236soft"
303,"-209hard/3236soft"
304,"-208hard/3236soft"
304,"-207hard/3236soft"
305,"-206hard/3236soft"
305,"-205hard/3236soft"
306,"-204hard/3236soft"
307,"-203hard/3236soft"
307,"-202hard/3236soft"
308,"-201hard/3236soft"
309,"-200hard/3236soft"
309,"-199hard/3236soft"
309,"-198hard/3236soft"
310,"-197hard/3236soft"
310,"-196hard/3236soft"
310,"-195hard/3236soft"
310,"-194hard/3236soft"
312,"-193hard/3236soft"
312,"-192hard/3236soft"
312,"-191hard/3236soft"
313,"-190hard/3236soft"
313,"-189hard/3236soft"
314,"-188hard/3236soft"
314,"-187hard/3236soft"
314,"-186hard/3236soft"
314,"-185hard/3236soft"
315,"-184hard/3236soft"
315,"-183hard/3236soft"
316,"-182hard/3236soft"
316,"-181hard/3236soft"
317,"-180hard/3236soft"
317,"-179hard/3236soft"
318,"-178hard/3236soft"
320,"-177hard/3236soft"
320,"-176hard/3236soft"
321,"-175hard/3236soft"
322,"-174hard/3236soft"
323,"-173hard/3236soft"
324,"-172hard/3236soft"
324,"-171hard/3236soft"
324,"-170hard/3236soft"
325,"-169hard/3236soft"
325,"-168hard/3236soft"
328,"-167hard/3236soft"
328,"-166hard/3236soft"
329,"-165hard/3236soft"
331,"-164hard/3236soft"
332,"-163hard/3236soft"
332,"-162hard/3236soft"
333,"-161hard/3236soft"
335,"-160hard/3236soft"
335,"-159hard/3236soft"
336,"-158hard/3236soft"
337,"-157hard/3236soft"
338,"-156hard/3236soft"
339,"-155hard/3236soft"
340,"-154hard/3236soft"
340,"-153hard/3236soft"
342,"-152hard/3236soft"
342,"-151hard/3236soft"
345,"-150hard/3236soft"
347,"-149hard/3236soft"
347,"-148hard/3236soft"
347,"-147hard/3236soft"
348,"-146hard/3236soft"
349,"-145hard/3236soft"
349,"-144hard/3236soft"
356,"-143hard/3236soft"
357,"-142hard/3236soft"
359,"-141hard/3236soft"
361,"-140hard/3236soft"
361,"-139hard/3236soft"
363,"-138hard/3236soft"
364,"-137hard/3236soft"
364,"-136hard/3236soft"
366,"-135hard/3236soft"
367,"-134hard/3236soft"
367,"-133hard/3236soft"
370,"-132hard/3236soft"
370,"-131hard/3236soft"
372,"-130hard/3236soft"
373,"-129hard/3236soft"
374,"-128hard/3236soft"
375,"-127hard/3236soft"
375,"-126hard/3236soft"
378,"-125hard/3236soft"
386,"-124hard/3236soft"
389,"-123hard/3236soft"
394,"-122hard/3236soft"
400,"-121hard/3236soft"
411,"-120hard/3236soft"
413,"-119hard/3236soft"
418,"-118hard/3236soft"
421,"-117hard/3236soft"
422,"-116hard/3236soft"
424,"-115hard/3236soft"
424,"-114hard/3236soft"
431,"-113hard/3236soft"
432,"-112hard/3236soft"
434,"-111hard/3236soft"
439,"-110hard/3236soft"
443,"-109hard/3236soft"
444,"-108hard/3236soft"
452,"-107hard/3236soft"
458,"-106hard/3236soft"
459,"-105hard/3236soft"
467,"-104hard/3236soft"
468,"-103hard/3236soft"
469,"-102hard/3236soft"
471,"-101hard/3236soft"
483,"-100hard/3236soft"
492,"-99hard/3236soft"
494,"-98hard/3236soft"
498,"-97hard/3236soft"
510,"-96hard/3236soft"
510,"-95hard/3236soft"
515,"-94hard/3236soft"
516,"-93hard/3236soft"
545,"-92hard/3236soft"
557,"-91hard/3236soft"
562,"-90hard/3236soft"
565,"-89hard/3236soft"
578,"-88hard/3236soft"
589,"-87hard/3236soft"
602,"-86hard/3236soft"
637,"-85hard/3236soft"
638,"-84hard/3236soft"
645,"-83hard/3236soft"
656,"-82hard/3236soft"
658,"-81hard/3236soft"
661,"-80hard/3236soft"
666,"-79hard/3236soft"
699,"-78hard/3236soft"
774,"-77hard/3236soft"
782,"-76hard/3236soft"
823,"-75hard/3236soft"
834,"-74hard/3236soft"
845,"-73hard/3236soft"
871,"-72hard/3236soft"
964,"-71hard/3236soft"
1151,"-70hard/3236soft"
1379,"-69hard/3236soft"
1438,"-68hard/3236soft"
1524,"-67hard/3236soft"
1592,"-66hard/3236soft"
1674,"-65hard/3236soft"
2334,"-64hard/3236soft"
2386,"-63hard/3236soft"
2464,"-62hard/3236soft"
2485,"-61hard/3236soft"
2755,"-60hard/3236soft"
2764,"-59hard/3236soft"
2942,"-58hard/3236soft"
3061,"-57hard/3236soft"
4632,"-56hard/3236soft"
4666,"-55hard/3236soft"
5698,"-54hard/3236soft"
6560,"-53hard/3236soft"
14045,"-52hard/3236soft"
14971,"-51hard/3236soft"
15929,"-50hard/3236soft"
19335,"-49hard/3236soft"
