"timeMillisSpent","score"
264,"-214hard/3236soft"
264,"-213hard/3236soft"
19933,"-212hard/3236soft"
19933,"-211hard/3236soft"
19933,"-210hard/3236soft"
19933,"-209hard/3236soft"
19933,"-208hard/3236soft"
19933,"-207hard/3236soft"
19933,"-206hard/3236soft"
19933,"-205hard/3236soft"
19933,"-204hard/3236soft"
19933,"-203hard/3236soft"
19933,"-202hard/3236soft"
19933,"-201hard/3236soft"
19933,"-200hard/3236soft"
19933,"-199hard/3236soft"
19933,"-198hard/3236soft"
19933,"-197hard/3236soft"
19945,"-196hard/3236soft"
19945,"-195hard/3236soft"
19946,"-194hard/3236soft"
19947,"-193hard/3236soft"
19947,"-192hard/3236soft"
19947,"-191hard/3236soft"
19947,"-190hard/3236soft"
19947,"-189hard/3236soft"
19947,"-188hard/3236soft"
19947,"-187hard/3236soft"
19947,"-186hard/3236soft"
19947,"-185hard/3236soft"
19947,"-184hard/3236soft"
19947,"-183hard/3236soft"
19947,"-182hard/3236soft"
19947,"-181hard/3236soft"
19947,"-180hard/3236soft"
19947,"-179hard/3236soft"
19947,"-178hard/3236soft"
19947,"-177hard/3236soft"
19947,"-176hard/3236soft"
19947,"-175hard/3236soft"
19965,"-174hard/3236soft"
19965,"-173hard/3236soft"
19965,"-172hard/3236soft"
19965,"-171hard/3236soft"
19965,"-170hard/3236soft"
19965,"-169hard/3236soft"
19965,"-168hard/3236soft"
19965,"-167hard/3236soft"
19965,"-166hard/3236soft"
19965,"-165hard/3236soft"
19965,"-164hard/3236soft"
19965,"-163hard/3236soft"
19965,"-162hard/3236soft"
19965,"-161hard/3236soft"
19965,"-160hard/3236soft"
19965,"-159hard/3236soft"
19965,"-158hard/3236soft"
19965,"-157hard/3236soft"
19965,"-156hard/3236soft"
19965,"-155hard/3236soft"
19965,"-154hard/3236soft"
19965,"-153hard/3236soft"
19965,"-152hard/3236soft"
19965,"-151hard/3236soft"
19980,"-150hard/3236soft"
19980,"-149hard/3236soft"
19981,"-148hard/3236soft"
19981,"-147hard/3236soft"
19981,"-146hard/3236soft"
19981,"-145hard/3236soft"
19981,"-144hard/3236soft"
19981,"-143hard/3236soft"
19981,"-142hard/3236soft"
19981,"-141hard/3236soft"
19981,"-140hard/3236soft"
19981,"-139hard/3236soft"
19981,"-138hard/3236soft"
19981,"-137hard/3236soft"
19981,"-136hard/3236soft"
19981,"-135hard/3236soft"
19981,"-134hard/3236soft"
19981,"-133hard/3236soft"
19981,"-132hard/3236soft"
19981,"-131hard/3236soft"
19997,"-130hard/3236soft"
19997,"-129hard/3236soft"
19997,"-128hard/3236soft"
19997,"-127hard/3236soft"
19997,"-126hard/3236soft"
19997,"-125hard/3236soft"
19997,"-124hard/3236soft"
19997,"-123hard/3236soft"
19997,"-122hard/3236soft"
19997,"-121hard/3236soft"
19997,"-120hard/3236soft"
19997,"-119hard/3236soft"
