"timeMillisSpent","score"
724,"-214hard/3236soft"
772,"-213hard/3236soft"
786,"-212hard/3236soft"
799,"-211hard/3236soft"
811,"-210hard/3236soft"
823,"-209hard/3236soft"
836,"-208hard/3236soft"
850,"-207hard/3236soft"
860,"-206hard/3236soft"
871,"-205hard/3236soft"
881,"-204hard/3236soft"
892,"-203hard/3236soft"
902,"-202hard/3236soft"
912,"-201hard/3236soft"
921,"-200hard/3236soft"
931,"-199hard/3236soft"
943,"-198hard/3236soft"
954,"-197hard/3236soft"
965,"-196hard/3236soft"
974,"-195hard/3236soft"
983,"-194hard/3236soft"
994,"-193hard/3236soft"
1004,"-192hard/3236soft"
1020,"-191hard/3236soft"
1032,"-190hard/3236soft"
1046,"-189hard/3236soft"
1066,"-188hard/3236soft"
1082,"-187hard/3236soft"
1095,"-186hard/3236soft"
1107,"-185hard/3236soft"
1118,"-184hard/3236soft"
1128,"-183hard/3236soft"
1141,"-182hard/3236soft"
1152,"-181hard/3236soft"
1170,"-180hard/3236soft"
1188,"-179hard/3236soft"
1201,"-178hard/3236soft"
1210,"-177hard/3236soft"
1225,"-176hard/3236soft"
1235,"-175hard/3236soft"
1249,"-174hard/3236soft"
1259,"-173hard/3236soft"
1267,"-172hard/3236soft"
1276,"-171hard/3236soft"
1283,"-170hard/3236soft"
1289,"-169hard/3236soft"
1300,"-168hard/3236soft"
1307,"-167hard/3236soft"
1313,"-166hard/3236soft"
1318,"-165hard/3236soft"
1325,"-164hard/3236soft"
1330,"-163hard/3236soft"
1335,"-162hard/3236soft"
1343,"-161hard/3236soft"
1351,"-160hard/3236soft"
1357,"-159hard/3236soft"
1361,"-158hard/3236soft"
1369,"-157hard/3236soft"
1374,"-156hard/3236soft"
1378,"-155hard/3236soft"
1386,"-154hard/3236soft"
1390,"-153hard/3236soft"
1419,"-152hard/3236soft"
1434,"-151hard/3236soft"
1439,"-150hard/3236soft"
1446,"-149hard/3236soft"
1450,"-148hard/3236soft"
1455,"-147hard/3236soft"
1474,"-146hard/3236soft"
1479,"-145hard/3236soft"
1484,"-144hard/3236soft"
1496,"-143hard/3236soft"
1508,"-142hard/3236soft"
1518,"-141hard/3236soft"
1554,"-140hard/3236soft"
1558,"-139hard/3236soft"
1572,"-138hard/3236soft"
1588,"-137hard/3236soft"
1615,"-136hard/3236soft"
1650,"-135hard/3236soft"
1661,"-134hard/3236soft"
1697,"-133hard/3236soft"
1700,"-132hard/3236soft"
1715,"-131hard/3236soft"
1761,"-130hard/3236soft"
1790,"-129hard/3236soft"
1826,"-128hard/3236soft"
1852,"-127hard/3236soft"
1899,"-126hard/3236soft"
1916,"-125hard/3236soft"
1924,"-124hard/3236soft"
1931,"-123hard/3236soft"
1963,"-122hard/3236soft"
2044,"-121hard/3236soft"
2061,"-120hard/3236soft"
2068,"-119hard/3236soft"
2077,"-118hard/3236soft"
2084,"-117hard/3236soft"
2137,"-116hard/3236soft"
2163,"-115hard/3236soft"
2268,"-114hard/3236soft"
2340,"-113hard/3236soft"
2344,"-112hard/3236soft"
2348,"-111hard/3236soft"
2397,"-110hard/3236soft"
2456,"-109hard/3236soft"
2460,"-108hard/3236soft"
2617,"-107hard/3236soft"
2648,"-106hard/3236soft"
2651,"-105hard/3236soft"
2887,"-104hard/3236soft"
2908,"-103hard/3236soft"
2919,"-102hard/3236soft"
2992,"-101hard/3236soft"
3007,"-100hard/3236soft"
3085,"-99hard/3236soft"
3099,"-98hard/3236soft"
3107,"-97hard/3236soft"
3130,"-96hard/3236soft"
3180,"-95hard/3236soft"
3195,"-94hard/3236soft"
3247,"-93hard/3236soft"
3383,"-92hard/3236soft"
3464,"-91hard/3236soft"
3835,"-90hard/3236soft"
4055,"-89hard/3236soft"
4184,"-88hard/3236soft"
4198,"-87hard/3236soft"
4206,"-86hard/3236soft"
4296,"-85hard/3236soft"
4583,"-84hard/3236soft"
4824,"-83hard/3236soft"
4978,"-82hard/3236soft"
5066,"-81hard/3236soft"
5322,"-80hard/3236soft"
5407,"-79hard/3236soft"
5531,"-78hard/3236soft"
5612,"-77hard/3236soft"
5616,"-76hard/3236soft"
6016,"-75hard/3236soft"
6411,"-74hard/3236soft"
6457,"-73hard/3236soft"
6554,"-72hard/3236soft"
6782,"-71hard/3236soft"
7013,"-70hard/3236soft"
7121,"-69hard/3236soft"
7305,"-68hard/3236soft"
7981,"-67hard/3236soft"
9418,"-66hard/3236soft"
10476,"-65hard/3236soft"
11165,"-64hard/3236soft"
11580,"-63hard/3236soft"
11841,"-62hard/3236soft"
13210,"-61hard/3236soft"
14733,"-60hard/3236soft"
17734,"-59hard/3236soft"
19757,"-58hard/3236soft"
